Date,Time,Temperature,Humidity
2025-05-22,15:21:41,21.1,39.4
2025-05-22,15:21:46,21.0,39.1
2025-05-22,15:21:52,21.1,39.1
2025-05-22,15:21:57,21.1,39.2
2025-05-22,15:22:02,21.1,39.2
2025-05-22,15:23:34,21.1,39.0
2025-05-22,15:23:39,21.1,39.0
2025-05-22,15:23:44,21.1,39.2
2025-05-22,15:24:06,21.0,38.7
2025-05-22,15:24:20,21.1,38.5
2025-05-22,15:24:25,21.1,38.5
2025-05-22,15:24:31,21.1,38.5
2025-05-22,15:24:36,21.1,38.6
2025-05-22,15:24:41,21.1,38.7
2025-05-22,15:25:00,21.0,38.9
2025-05-22,15:25:05,21.1,38.9
2025-05-22,15:25:32,21.0,38.7
2025-05-22,15:25:37,21.1,38.8
2025-05-22,15:25:42,21.1,38.7
2025-05-22,15:25:47,21.1,38.6
2025-05-22,15:25:53,21.0,38.6
